Company,Recovery
UNUM Life Insurance Company of America,780.4406779661017
USAA Casualty Insurance Company,1186.5241176470588
USAA General Indemnity Company,1888.1088584474887
USAA Life Insurance Company,164.3446153846154
Underwriters at Lloyds London,5673.447397260274
Union Fidelity Life Insurance Company,0.0
Union Insurance Company,0.0
Union Mutual Fire Insurance Company,0.0
Union Security Insurance Company,0.0
United American Insurance Company,69.46000000000001
United Behavioral Health,0.0
United Concordia Insurance Company,69.402
United Financial Casualty Company,400.0
United National Insurance Company,0.0
United Ohio Insurance Company,14.0
United Property & Casualty Insurance Company,4015.58
United Service Protection Corporation,0.0
United Services Automobile Association,491.7421341463415
United Specialty Insurance Company,0.0
United States Fire Insurance Company,1669.5613855421686
United States Liability Insurance Company,49.916666666666664
United States Life Insurance Company in the City of New York,0.0
United of Omaha Life Insurance Company,0.0
UnitedHealthcare Insurance Company,2093.5907994842037
UnitedHealthcare Insurance Company of Illinois,5690.0
UnitedHealthcare Life Insurance Company,66.815
Unitrin Direct Insurance Company,17228.54
Unitrin Preferred Insurance Company,0.0
Unity Financial Life Insurance Company,0.0
Universal North America Insurance Company,3671.612372881356
Universal Underwriters Insurance Company,18.906
Unum Insurance Company,806.6671428571428
Utica First Insurance Company,268.11853658536586
Utica Mutual Insurance Company,336.271076923077
Utica National Assurance Company,589.5882352941177
Utica National Insurance Company of Ohio,0.0
Utica National Insurance Company of Texas,0.0
Valley Forge Insurance Company,0.0
Vanliner Insurance Company,0.0
Vantis Life Insurance Company,0.0
Venerable Insurance and Annuity Company,0.0
Vermont Mutual Insurance Company,44.99076923076923
Victoria Fire & Casualty Company,0.0
Vigilant Insurance Company,3183.3922222222222
Viking Insurance Company of Wisconsin,5400.0
Virginia Surety Company Inc.,55.81411764705882
Voya Retirement Insurance and Annuity Company,0.0
Voyager Indemnity Insurance Company,0.0
Washington National Insurance Company,0.0
Wausau Underwriters Insurance Company,0.0
"WellCare Health Insurance of Connecticut, Inc.",0.0
"WellCare of Connecticut, Inc.",0.0
Wellfleet Insurance Company,466.09090909090907
Wells Fargo Advisors Financial Network Purchasing Group,0.0
Wesco Insurance Company,1018.55
West American Insurance Company,0.0
West Coast Life Insurance Company,210.88
Westchester Fire Insurance Company,0.0
Western Surety Company,0.0
Western World Insurance Company,39024.59125
Westport Insurance Corporation,0.0
Wilcac Life Insurance Company,0.0
Wilco Life Insurance Company,44071.456
Wilton Reassurance Life Company of New York,0.0
Workers' Compensation Trust,0.0
Wright National Flood Insurance Company,0.0
"XL Insurance America, Inc.",0.0
XL Specialty Insurance Company,48.330000000000005
Zurich American Insurance Company,81.65898305084745
Zurich American Insurance Company of Illinois,688.46
Zurich American Life Insurance Company,0.0
